SPY: SPDR S&P 500 ETF
Inception Date: 1993-01-22
Fund Holdings as of: 2020-03-26
Total Assets Under Management (in thousands):	244286779
Shares Outstanding: 931932000
Expense Ratio: 0.0945%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: UIT
ETF Home Page: https://etfdb.com/etf/SPY


Holding,Symbol,Weighting
Microsoft Corp,MSFT,5.4599%
Apple Inc,AAPL,4.9493%
Amazon.com Inc,AMZN,3.73%
Facebook Inc,FB,1.8021%
Berkshire Hathaway Inc,BRK.B,1.6487%
Alphabet Inc,GOOGL,1.5971%
Alphabet Inc,GOOG,1.5955%
Johnson & Johnson,JNJ,1.5268%
JPMorgan Chase & Co,JPM,1.4112%
Visa Inc,V,1.3259%
Procter & Gamble Co,PG,1.2281%
UnitedHealth Group Inc,UNH,1.1087%
Intel Corp,INTC,1.1077%
Mastercard Inc,MA,1.0703%
AT&T Inc,T,1.0249%
Verizon Communications Inc,VZ,1.0151%
Home Depot Inc,HD,0.9756%
Walt Disney Co,DIS,0.8706%
Merck & Co Inc,MRK,0.8584%
Bank of America Corp,BAC,0.8433%
Pfizer Inc,PFE,0.8055%
Cisco Systems Inc,CSCO,0.7892%
Coca-Cola Co,KO,0.783%
PepsiCo Inc,PEP,0.7689%
Comcast Corp,CMCSA,0.7647%
Exxon Mobil Corp,XOM,0.7529%
Netflix Inc,NFLX,0.7284%
NVIDIA Corp,NVDA,0.7223%
Adobe Inc,ADBE,0.7164%
Walmart Inc,WMT,0.7139%
Chevron Corp,CVX,0.662%
Salesforce.Com Inc,CRM,0.6292%
Abbott Laboratories,ABT,0.6143%
Costco Wholesale Corp,COST,0.591%
Mcdonald's Corp,MCD,0.5784%
Medtronic PLC,MDT,0.5647%
Bristol-Myers Squibb Co,BMY,0.5617%
Wells Fargo & Co,WFC,0.5453%
PayPal Holdings Inc,PYPL,0.5421%
Amgen Inc,AMGN,0.5407%
Thermo Fisher Scientific Inc,TMO,0.5207%
Eli Lilly and Co,LLY,0.5207%
Nextera Energy Inc,NEE,0.5184%
Philip Morris International Inc,PM,0.5076%
Oracle Corp,ORCL,0.5015%
Abbvie Inc,ABBV,0.5008%
Accenture PLC,ACN,0.4994%
Nike Inc,NKE,0.4818%
Texas Instruments Inc,TXN,0.4621%
